name,norad,line1,line2,launch_date,launch_site,epoch_raw,epoch_day,epoch_utc,epoch_iso
BEIDOU-2 IGSO-7,43539,1 43539U 18057A   26243.69750490 -.00000113  00000+0  00000+0 0  9996,2 43539  55.2141 162.4196 0108097 236.7933 304.0777  1.00281286 29884,2018-07-09,XICLF,26243.69750490,2026年243日目,2026/08/31 16:44:24 UTC,2026-08-31T16:44:24.423360Z
BEIDOU-3 G1,43683,1 43683U 18085A   26244.66130159 -.00000106  00000+0  00000+0 0  9991,2 43683   2.5804  95.2283 0006428  19.0634 264.6651  1.00272318 28821,2018-11-01,XICLF,26244.66130159,2026年244日目,2026/09/01 15:52:16 UTC,2026-09-01T15:52:16.457376Z
BEIDOU-3 G2,45344,1 45344U 20017A   26244.61799073 -.00000137  00000+0  00000+0 0  9990,2 45344   2.5567  48.2018 0002312 114.2488 120.8645  1.00271560 24022,2020-03-09,XICLF,26244.61799073,2026年244日目,2026/09/01 14:49:54 UTC,2026-09-01T14:49:54.399072Z
BEIDOU-3 G3,45807,1 45807U 20040A   26244.62397075 -.00000351  00000+0  00000+0 0  9995,2 45807   2.6283  67.4266 0002497 291.7858 316.7266  1.00275767 22831,2020-06-23,XICLF,26244.62397075,2026年244日目,2026/09/01 14:58:31 UTC,2026-09-01T14:58:31.072800Z
BEIDOU-3 G4,56564,1 56564U 23066A   26244.62986411 -.00000278  00000+0  00000+0 0  9994,2 56564   0.4405 353.0271 0005255 199.9065 154.6312  1.00274833 12157,2023-05-17,XICLF,26244.62986411,2026年244日目,2026/09/01 15:07:00 UTC,2026-09-01T15:07:00.259104Z
BEIDOU-3 IGSO-1,44204,1 44204U 19023A   26240.34823663 -.00000187  00000+0  00000+0 0  9993,2 44204  58.7997  36.9119 0027056 222.6066 321.7076  1.00270870  7934,2019-04-20,XICLF,26240.34823663,2026年240日目,2026/08/28 08:21:27 UTC,2026-08-28T08:21:27.644832Z
BEIDOU-3 IGSO-2,44337,1 44337U 19035A   26241.71502684 -.00000141  00000+0  00000+0 0  9992,2 44337  55.2506 158.2181 0038917 211.5634 345.2616  1.00278019 26409,2019-06-24,XICLF,26241.71502684,2026年241日目,2026/08/29 17:09:38 UTC,2026-08-29T17:09:38.318976Z
BEIDOU-3 IGSO-3,44709,1 44709U 19073A   26243.50237293 -.00000156  00000+0  00000+0 0  9993,2 44709  54.6728 280.0769 0046840 197.7740 162.1531  1.00267582 25217,2019-11-04,XICLF,26243.50237293,2026年243日目,2026/08/31 12:03:25 UTC,2026-08-31T12:03:25.021152Z
BEIDOU-3S IGSO-1S,40549,1 40549U 15019A   26243.62271124 -.00000154  00000+0  00000+0 0  9999,2 40549  49.0506 294.5494 0039137 200.2477 164.3210  1.00292195 41832,2015-03-30,XICLF,26243.62271124,2026年243日目,2026/08/31 14:56:42 UTC,2026-08-31T14:56:42.251136Z
CHINASAT 16 (SJ-13),42662,1 42662U 17018A   26244.05377006 -.00000349  00000+0  00000+0 0  9998,2 42662   0.0756  92.0639 0007226 132.0207 246.0589  1.00272552 34512,2017-04-12,XICLF,26244.05377006,2026年244日目,2026/09/01 01:17:25 UTC,2026-09-01T01:17:25.733184Z
CHINASAT 3B,64062,1 64062U 25106A   26244.70647778 -.00000042  00000+0  00000+0 0  9991,2 64062   0.0412 309.8161 0002087 226.6983 226.0018  1.00271760  4825,2025-05-20,WSC,26244.70647778,2026年244日目,2026/09/01 16:57:19 UTC,2026-09-01T16:57:19.680192Z
CHINASAT 9B,49125,1 49125U 21080A   26244.62215074 -.00000310  00000+0  00000+0 0  9990,2 49125   0.0098 183.6006 0003206 359.6875 122.8903  1.00272458 18416,2021-09-09,XICLF,26244.62215074,2026年244日目,2026/09/01 14:55:53 UTC,2026-09-01T14:55:53.823936Z
CHINASAT 9C,64470,1 64470U 25132A   26244.51711270 -.00000245  00000+0  00000+0 0  9996,2 64470   0.0434 252.2730 0003272 270.4029  96.3939  1.00271971  4914,2025-06-20,XICLF,26244.51711270,2026年244日目,2026/09/01 12:24:38 UTC,2026-09-01T12:24:38.537280Z
FENGYUN 2B,26382,1 26382U 00032A   26244.30155111 -.00000231  00000+0  00000+0 0  9996,2 26382  13.3446  16.3226 0003000 289.8570  64.8668  1.00075679 95687,2000-06-25,XICLF,26244.30155111,2026年244日目,2026/09/01 07:14:14 UTC,2026-09-01T07:14:14.015904Z
FENGYUN 2B AKM,26460,1 26460U 00032C   26241.70186570 -.00000330  00000+0  00000+0 0  9997,2 26460  14.4638   5.6568 0022307  45.1289 315.1023  1.00184428122928,2000-06-25,XICLF,26241.70186570,2026年241日目,2026/08/29 16:50:41 UTC,2026-08-29T16:50:41.196480Z
FENGYUN 2D DEB,33458,1 33458U 06053D   26226.90293095 -.00000025  00000+0  00000+0 0  9998,2 33458  11.7661  36.6515 0032093  25.5412 291.1686  1.00285969 65968,2006-12-08,XICLF,26226.90293095,2026年226日目,2026/08/14 21:40:13 UTC,2026-08-14T21:40:13.234080Z
FENGYUN 2G,40367,1 40367U 14090A   26244.55039044 -.00000300  00000+0  00000+0 0  9994,2 40367   5.8243  71.8586 0003821 183.4797  23.0642  1.00279620 42765,2014-12-31,XICLF,26244.55039044,2026年244日目,2026/09/01 13:12:33 UTC,2026-09-01T13:12:33.734016Z
FENGYUN 2H,43491,1 43491U 18050A   26244.61781740 -.00000127  00000+0  00000+0 0  9996,2 43491   3.2198  78.1222 0002645 145.9923  58.3700  1.00273348 30204,2018-06-05,XICLF,26244.61781740,2026年244日目,2026/09/01 14:49:39 UTC,2026-09-01T14:49:39.423360Z
FENGYUN 4A,41882,1 41882U 16077A   26244.62657076 -.00000355  00000+0  00000+0 0  9993,2 41882   2.5086  79.3168 0008037 164.9638  85.4377  1.00264498 35696,2016-12-10,XICLF,26244.62657076,2026年244日目,2026/09/01 15:02:15 UTC,2026-09-01T15:02:15.713664Z
FENGYUN 4B,48808,1 48808U 21047A   26244.62284409 -.00000327  00000+0  00000+0 0  9996,2 48808   0.3381  81.0641 0007593 273.7802 314.8950  1.00271731 19336,2021-06-02,XICLF,26244.62284409,2026年244日目,2026/09/01 14:56:53 UTC,2026-09-01T14:56:53.729376Z
FENGYUN 4C,67246,1 67246U 25312A   26244.55715046 -.00000320  00000+0  00000+0 0  9993,2 67246   0.0407 305.3283 0000719 309.4292  59.5467  1.00272291  2639,2025-12-26,XICLF,26244.55715046,2026年244日目,2026/09/01 13:22:17 UTC,2026-09-01T13:22:17.799744Z
TIANLIAN 1-04,41869,1 41869U 16072A   26244.61290295  .00000035  00000+0  00000+0 0  9992,2 41869   1.0594  82.2654 0046238  94.4486 201.6038  1.00275961 36060,2016-11-22,XICLF,26244.61290295,2026年244日目,2026/09/01 14:42:34 UTC,2026-09-01T14:42:34.814880Z
TIANLIAN 1-05,49011,1 49011U 21063A   26244.60542402  .00000111  00000+0  00000+0 0  9999,2 49011   1.7834  79.9348 0003178 133.1808   2.3944  1.00272515 18849,2021-07-06,XICLF,26244.60542402,2026年244日目,2026/09/01 14:31:48 UTC,2026-09-01T14:31:48.635328Z
TIANLIAN 2-01,44076,1 44076U 19017A   26244.47479853 -.00000104  00000+0  00000+0 0  9998,2 44076   0.7292  82.6741 0002998 117.7767  28.1364  1.00271382 27417,2019-03-31,XICLF,26244.47479853,2026年244日目,2026/09/01 11:23:42 UTC,2026-09-01T11:23:42.592992Z
TIANLIAN 2-02,50005,1 50005U 21124A   26244.60944346 -.00000011  00000+0  00000+0 0  9995,2 50005   0.9915  84.8206 0003308 149.7677 136.5524  1.00271777 17386,2021-12-13,XICLF,26244.60944346,2026年244日目,2026/09/01 14:37:35 UTC,2026-09-01T14:37:35.914944Z
TIANLIAN 2-03,53100,1 53100U 22078A   26244.31905786  .00000075  00000+0  00000+0 0  9995,2 53100   0.8603  77.7870 0001120 123.4603 264.6618  1.00270950 15314,2022-07-12,XICLF,26244.31905786,2026年244日目,2026/09/01 07:39:26 UTC,2026-09-01T07:39:26.599104Z
TIANLIAN 2-04,63361,1 63361U 25062A   26244.61799073 -.00000134  00000+0  00000+0 0  9991,2 63361   4.1859 273.3738 0032574   7.8335   2.1193  1.00271376  5376,2025-03-26,XICLF,26244.61799073,2026年244日目,2026/09/01 14:49:54 UTC,2026-09-01T14:49:54.399072Z
TIANLIAN 2-05,63662,1 63662U 25084A   26244.32096454  .00000126  00000+0  00000+0 0  9990,2 63662   4.2658 278.9994 0001427 196.9828   0.3851  1.00271483  5148,2025-04-27,XICLF,26244.32096454,2026年244日目,2026/09/01 07:42:11 UTC,2026-09-01T07:42:11.336256Z
ZHONGXING-10,37677,1 37677U 11026A   26244.61903073 -.00000185  00000+0  00000+0 0  9990,2 37677   1.2365  83.2151 0003138  59.0112 146.9275  1.00270230 55764,2011-06-20,XICLF,26244.61903073,2026年244日目,2026/09/01 14:51:24 UTC,2026-09-01T14:51:24.255072Z
ZHONGXING-10R,63075,1 63075U 25036A   26244.55273045 -.00000349  00000+0  00000+0 0  9991,2 63075   0.0560 248.5315 0004895 287.6910 113.9827  1.00268501  5729,2025-02-22,XICLF,26244.55273045,2026年244日目,2026/09/01 13:15:55 UTC,2026-09-01T13:15:55.910880Z
ZHONGXING-11,39157,1 39157U 13020A   26244.62145741  .00000000  00000+0  00000+0 0  9997,2 39157   0.0113 114.0873 0001357   0.2425 188.0898  1.00272153 48662,2013-05-01,XICLF,26244.62145741,2026年244日目,2026/09/01 14:54:53 UTC,2026-09-01T14:54:53.920224Z
ZHONGXING-12,39017,1 39017U 12067A   26244.61946407 -.00000204  00000+0  00000+0 0  9996,2 39017   0.0384 110.4718 0002773  50.6484 130.1829  1.00270664 50279,2012-11-27,XICLF,26244.61946407,2026年244日目,2026/09/01 14:52:01 UTC,2026-09-01T14:52:01.695648Z
ZHONGXING-19,54230,1 54230U 22148A   26244.65540385 -.00000079  00000+0  00000+0 0  9990,2 54230   0.0545 268.0080 0004478 267.1063 204.8109  1.00271691 14143,2022-11-05,XICLF,26244.65540385,2026年244日目,2026/09/01 15:43:46 UTC,2026-09-01T15:43:46.892640Z
ZHONGXING-1A,37804,1 37804U 11047A   26244.61625740  .00000002  00000+0  00000+0 0  9994,2 37804   3.9074  77.3632 0001060 241.2292 315.5109  1.00017888 28090,2011-09-18,XICLF,26244.61625740,2026年244日目,2026/09/01 14:47:24 UTC,2026-09-01T14:47:24.639360Z
ZHONGXING-1D,49505,1 49505U 21114A   26244.62787076 -.00000333  00000+0  00000+0 0  9991,2 49505   0.0095 136.0299 0000947 160.7321  40.2640  1.00273121 17583,2021-11-26,XICLF,26244.62787076,2026年244日目,2026/09/01 15:04:08 UTC,2026-09-01T15:04:08.033664Z
ZHONGXING-1E,53813,1 53813U 22112A   26244.61825073 -.00000146  00000+0  00000+0 0  9998,2 53813   0.0157 150.5228 0002504 103.0347  31.2085  1.00270074 14619,2022-09-13,WSC,26244.61825073,2026年244日目,2026/09/01 14:50:16 UTC,2026-09-01T14:50:16.863072Z
ZHONGXING-22A,29398,1 29398U 06038A   26244.34211128 -.00000359  00000+0  00000+0 0  9994,2 29398  11.6266  36.6875 0004224 150.8325  43.3820  1.00091910 73142,2006-09-12,XICLF,26244.34211128,2026年244日目,2026/09/01 08:12:38 UTC,2026-09-01T08:12:38.414592Z
ZHONGXING-26,55686,1 55686U 23023A   26244.27043766 -.00000351  00000+0  00000+0 0  9991,2 55686   0.0566  73.7429 0002339  48.2455  80.8949  1.00269089 12990,2023-02-23,XICLF,26244.27043766,2026年244日目,2026/09/01 06:29:25 UTC,2026-09-01T06:29:25.813824Z
ZHONGXING-2A,38352,1 38352U 12028A   26244.62154407 -.00000290  00000+0  00000+0 0  9991,2 38352   1.6441  82.8229 0001089 105.6135 114.3839  1.00272048 52065,2012-05-26,XICLF,26244.62154407,2026年244日目,2026/09/01 14:55:01 UTC,2026-09-01T14:55:01.407648Z
ZHONGXING-2C,41021,1 41021U 15063A   26244.62258409 -.00000321  00000+0  00000+0 0  9992,2 41021   0.4631  87.2458 0009953 110.3596 110.7648  1.00270003 39742,2015-11-03,XICLF,26244.62258409,2026年244日目,2026/09/01 14:56:31 UTC,2026-09-01T14:56:31.265376Z
ZHONGXING-2D,43920,1 43920U 19001A   26244.62787076 -.00000334  00000+0  00000+0 0  9999,2 43920   0.0633 291.5875 0001184  13.6127  31.6540  1.00271484 54840,2019-01-10,XICLF,26244.62787076,2026年244日目,2026/09/01 15:04:08 UTC,2026-09-01T15:04:08.033664Z
ZHONGXING-2E,49062,1 49062U 21071A   26244.51711270 -.00000289  00000+0  00000+0 0  9992,2 49062   0.0396 301.9094 0000495 267.1026  55.9051  1.00272506 18804,2021-08-05,XICLF,26244.51711270,2026年244日目,2026/09/01 12:24:38 UTC,2026-09-01T12:24:38.537280Z
ZHONGXING-3A,60179,1 60179U 24122A   26244.55091044  .00000000  00000+0  00000+0 0  9998,2 60179   0.0172 104.2795 0002678 102.4553  73.8707  1.00269682  8077,2024-06-29,WSC,26244.55091044,2026年244日目,2026/09/01 13:13:18 UTC,2026-09-01T13:13:18.662016Z
ZHONGXING-4A,60606,1 60606U 24151A   26244.55420378 -.00000360  00000+0  00000+0 0  9991,2 60606   1.1245 270.0999 0000811  10.3435  18.0122  1.00273840  7528,2024-08-22,WSC,26244.55420378,2026年244日目,2026/09/01 13:18:03 UTC,2026-09-01T13:18:03.206592Z
ZHONGXING-5,14985,1 14985U 84049A   26243.69880491 -.00000357  00000+0  00000+0 0  9998,2 14985  14.3227 347.7289 0012328 234.9068 126.9464  0.99990104132061,1984-05-23,FRGUI,26243.69880491,2026年243日目,2026/08/31 16:46:16 UTC,2026-08-31T16:46:16.744224Z
ZHONGXING-5R,15385,1 15385U 84114A   26243.83112241  .00000053  00000+0  00000+0 0  9995,2 15385  14.6472 351.4334 0006580  98.6421 255.2368  0.99752208127722,1984-11-10,FRGUI,26243.83112241,2026年243日目,2026/08/31 19:56:48 UTC,2026-08-31T19:56:48.976224Z
ZHONGXING-6A,37150,1 37150U 10042A   26244.58037723  .00000019  00000+0  00000+0 0  9994,2 37150   4.4153  76.2316 0001541 166.0429 197.9268  0.99693825 58645,2010-09-04,XICLF,26244.58037723,2026年244日目,2026/09/01 13:55:44 UTC,2026-09-01T13:55:44.592672Z
ZHONGXING-6C,44067,1 44067U 19012A   26244.62787076 -.00000332  00000+0  00000+0 0  9992,2 44067   0.0396 332.0165 0014090  91.6292 273.6211  1.00274223 27501,2019-03-09,XICLF,26244.62787076,2026年244日目,2026/09/01 15:04:08 UTC,2026-09-01T15:04:08.033664Z
ZHONGXING-6D,52255,1 52255U 22038A   26243.70842123 -.00000350  00000+0  00000+0 0  9995,2 52255   0.0677 254.5242 0001776 331.7118 133.7593  1.00270429 16182,2022-04-15,XICLF,26243.70842123,2026年243日目,2026/08/31 17:00:07 UTC,2026-08-31T17:00:07.594272Z
ZHONGXING-6E,58253,1 58253U 23172A   26244.48242522 -.00000358  00000+0  00000+0 0  9990,2 58253   0.0179 212.7622 0002524 309.9688 107.0984  1.00268271 10423,2023-11-09,XICLF,26244.48242522,2026年244日目,2026/09/01 11:34:41 UTC,2026-09-01T11:34:41.539008Z
ZHONGXING-9,33051,1 33051U 08028A   26244.62041741 -.00000246  00000+0  00000+0 0  9994,2 33051   0.9559  84.2561 0004903  97.9000 114.3672  1.00273217 66806,2008-06-09,XICLF,26244.62041741,2026年244日目,2026/09/01 14:53:24 UTC,2026-09-01T14:53:24.064224Z
ZHONGXING-9A,42763,1 42763U 17035A   26244.49975263 -.00000217  00000+0  00000+0 0  9990,2 42763   5.1726  74.2446 0000954 348.8559 255.5251  0.99793401 34411,2017-06-18,XICLF,26244.49975263,2026年244日目,2026/09/01 11:59:38 UTC,2026-09-01T11:59:38.627232Z
